state_fips,state_abbr,zcta,house_district
01,AL,30165,03
01,AL,31905,03
01,AL,35004,03
01,AL,35005,06
01,AL,35005,07
01,AL,35006,04
01,AL,35006,06
01,AL,35006,07
01,AL,35007,06
01,AL,35010,02
01,AL,35010,03
01,AL,35010,06
01,AL,35013,06
01,AL,35014,03
01,AL,35016,04
01,AL,35019,04
01,AL,35019,05
01,AL,35020,06
01,AL,35020,07
01,AL,35022,06
01,AL,35022,07
01,AL,35023,06
01,AL,35023,07
01,AL,35031,04
01,AL,35031,06
01,AL,35032,03
01,AL,35033,04
01,AL,35034,06
01,AL,35034,07
01,AL,35035,06
01,AL,35036,06
01,AL,35040,06
01,AL,35042,06
01,AL,35043,06
01,AL,35044,03
01,AL,35045,06
01,AL,35046,06
01,AL,35049,06
01,AL,35051,06
01,AL,35052,03
01,AL,35053,04
01,AL,35054,03
01,AL,35055,04
01,AL,35057,04
01,AL,35058,04
01,AL,35060,06
01,AL,35061,06
01,AL,35061,07
01,AL,35062,04
01,AL,35062,06
01,AL,35063,04
01,AL,35063,06
01,AL,35064,07
01,AL,35068,06
01,AL,35068,07
01,AL,35070,04
01,AL,35071,06
01,AL,35072,03
01,AL,35072,06
01,AL,35073,06
01,AL,35074,06
01,AL,35077,04
01,AL,35078,06
01,AL,35079,06
01,AL,35080,06
01,AL,35082,03
01,AL,35083,04
01,AL,35085,06
01,AL,35087,04
01,AL,35087,05
01,AL,35089,03
01,AL,35089,06
01,AL,35091,06
01,AL,35094,03
01,AL,35094,06
01,AL,35096,03
01,AL,35097,06
01,AL,35098,04
01,AL,35111,06
01,AL,35111,07
01,AL,35112,03
01,AL,35114,06
01,AL,35115,06
01,AL,35116,06
01,AL,35117,06
01,AL,35117,07
01,AL,35118,06
01,AL,35118,07
01,AL,35119,06
01,AL,35120,03
01,AL,35121,03
01,AL,35121,04
01,AL,35121,06
01,AL,35124,06
01,AL,35125,03
01,AL,35126,06
01,AL,35127,06
01,AL,35127,07
01,AL,35128,03
01,AL,35130,04
01,AL,35130,06
01,AL,35131,03
01,AL,35133,03
01,AL,35133,06
01,AL,35135,03
01,AL,35136,06
01,AL,35139,06
01,AL,35143,06
01,AL,35146,03
01,AL,35146,06
01,AL,35147,06
01,AL,35148,04
01,AL,35148,06
01,AL,35149,03
01,AL,35150,03
01,AL,35150,06
01,AL,35151,03
01,AL,35151,06
01,AL,35160,03
01,AL,35171,06
01,AL,35172,06
01,AL,35173,03
01,AL,35173,06
01,AL,35175,04
01,AL,35175,05
01,AL,35176,06
01,AL,35178,03
01,AL,35178,06
01,AL,35179,04
01,AL,35179,05
01,AL,35180,06
01,AL,35183,06
01,AL,35184,06
01,AL,35186,06
01,AL,35187,06
01,AL,35188,06
01,AL,35188,07
01,AL,35203,07
01,AL,35204,07
01,AL,35205,06
01,AL,35205,07
01,AL,35206,06
01,AL,35206,07
01,AL,35207,06
01,AL,35207,07
01,AL,35208,07
01,AL,35209,06
01,AL,35209,07
01,AL,35210,06
01,AL,35210,07
01,AL,35211,06
01,AL,35211,07
01,AL,35212,06
01,AL,35212,07
01,AL,35213,06
01,AL,35213,07
01,AL,35214,06
01,AL,35214,07
01,AL,35215,06
01,AL,35215,07
01,AL,35216,06
01,AL,35217,06
01,AL,35217,07
01,AL,35218,07
01,AL,35221,07
01,AL,35222,06
01,AL,35222,07
01,AL,35223,06
01,AL,35223,07
01,AL,35224,06
01,AL,35224,07
01,AL,35226,06
01,AL,35226,07
01,AL,35228,07
01,AL,35229,06
01,AL,35233,07
01,AL,35234,07
01,AL,35235,06
01,AL,35235,07
01,AL,35242,06
01,AL,35243,06
01,AL,35244,06
01,AL,35244,07
01,AL,35254,07
01,AL,35401,04
01,AL,35401,07
01,AL,35404,04
01,AL,35404,07
01,AL,35405,07
01,AL,35406,04
01,AL,35406,07
01,AL,35441,07
01,AL,35442,07
01,AL,35443,07
01,AL,35444,04
01,AL,35444,06
01,AL,35444,07
01,AL,35446,04
01,AL,35446,07
01,AL,35447,07
01,AL,35452,04
01,AL,35452,07
01,AL,35453,04
01,AL,35453,07
01,AL,35456,06
01,AL,35456,07
01,AL,35457,04
01,AL,35458,04
01,AL,35459,07
01,AL,35460,07
01,AL,35461,07
01,AL,35462,07
01,AL,35463,07
01,AL,35464,07
01,AL,35466,04
01,AL,35466,07
01,AL,35469,07
01,AL,35470,07
01,AL,35473,04
01,AL,35473,07
01,AL,35474,07
01,AL,35475,04
01,AL,35476,04
01,AL,35476,07
01,AL,35477,07
01,AL,35480,04
01,AL,35480,07
01,AL,35481,07
01,AL,35490,04
01,AL,35490,07
01,AL,35501,04
01,AL,35503,04
01,AL,35504,04
01,AL,35540,04
01,AL,35541,04
01,AL,35542,04
01,AL,35543,04
01,AL,35544,04
01,AL,35545,04
01,AL,35546,04
01,AL,35548,04
01,AL,35549,04
01,AL,35550,04
01,AL,35552,04
01,AL,35553,04
01,AL,35554,04
01,AL,35555,04
01,AL,35555,07
01,AL,35559,04
01,AL,35563,04
01,AL,35564,04
01,AL,35565,04
01,AL,35570,04
01,AL,35571,04
01,AL,35572,04
01,AL,35574,04
01,AL,35574,07
01,AL,35575,04
01,AL,35576,04
01,AL,35576,07
01,AL,35577,04
01,AL,35578,04
01,AL,35579,04
01,AL,35580,04
01,AL,35581,04
01,AL,35582,04
01,AL,35584,04
01,AL,35585,04
01,AL,35586,04
01,AL,35587,04
01,AL,35592,04
01,AL,35593,04
01,AL,35594,04
01,AL,35601,05
01,AL,35603,04
01,AL,35603,05
01,AL,35610,05
01,AL,35611,05
01,AL,35613,05
01,AL,35614,05
01,AL,35615,05
01,AL,35616,04
01,AL,35618,04
01,AL,35619,04
01,AL,35619,05
01,AL,35620,05
01,AL,35621,04
01,AL,35621,05
01,AL,35622,04
01,AL,35622,05
01,AL,35630,05
01,AL,35633,05
01,AL,35634,05
01,AL,35640,05
01,AL,35643,04
01,AL,35645,05
01,AL,35646,04
01,AL,35647,05
01,AL,35648,05
01,AL,35649,05
01,AL,35650,04
01,AL,35651,04
01,AL,35652,05
01,AL,35653,04
01,AL,35654,04
01,AL,35660,04
01,AL,35661,04
01,AL,35670,05
01,AL,35671,05
01,AL,35672,04
01,AL,35673,04
01,AL,35673,05
01,AL,35674,04
01,AL,35677,05
01,AL,35739,05
01,AL,35740,05
01,AL,35741,05
01,AL,35744,05
01,AL,35745,05
01,AL,35746,05
01,AL,35747,04
01,AL,35748,05
01,AL,35749,05
01,AL,35750,05
01,AL,35751,05
01,AL,35752,05
01,AL,35754,04
01,AL,35754,05
01,AL,35755,04
01,AL,35755,05
01,AL,35756,05
01,AL,35757,05
01,AL,35758,05
01,AL,35759,05
01,AL,35760,04
01,AL,35760,05
01,AL,35761,05
01,AL,35763,05
01,AL,35764,05
01,AL,35765,04
01,AL,35765,05
01,AL,35766,05
01,AL,35768,05
01,AL,35769,04
01,AL,35769,05
01,AL,35771,04
01,AL,35771,05
01,AL,35772,05
01,AL,35773,05
01,AL,35774,05
01,AL,35775,05
01,AL,35776,04
01,AL,35776,05
01,AL,35801,05
01,AL,35802,05
01,AL,35803,05
01,AL,35805,05
01,AL,35806,05
01,AL,35808,05
01,AL,35810,05
01,AL,35811,05
01,AL,35816,05
01,AL,35824,05
01,AL,35896,05
01,AL,35901,03
01,AL,35901,04
01,AL,35903,03
01,AL,35903,04
01,AL,35904,04
01,AL,35905,03
01,AL,35905,04
01,AL,35906,04
01,AL,35907,04
01,AL,35950,04
01,AL,35951,04
01,AL,35952,04
01,AL,35952,06
